market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,2017,官田鋼,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-2017/risk_plan.html
tw,2207,和泰車,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-2207/risk_plan.html
tw,2321,東訊,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-2321/risk_plan.html
tw,2344,華邦電,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-2344/risk_plan.html
tw,2359,所羅門,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-2359/risk_plan.html
tw,2404,漢唐,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-2404/risk_plan.html
tw,2417,圓剛,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-2417/risk_plan.html
tw,2453,凌群,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-2453/risk_plan.html
tw,2471,資通,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-2471/risk_plan.html
tw,2474,可成,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-2474/risk_plan.html
tw,2476,鉅祥,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-2476/risk_plan.html
