symbol,company,result_status,handoff_statuses,required_objects,next_workflows,packet_json,expected_result_path,template_md,validate_results_report_json
COST,Costco Wholesale Corporation - Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-COST.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-COST.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-COST.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-CRDO.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-CRDO.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-CRDO.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
DELL,Dell Technologies Inc. Class C Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-DELL.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-DELL.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-DELL.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
EPD,Enterprise Products Partners L.P. Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-EPD.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-EPD.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-EPD.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
F,Ford Motor Company Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-F.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-F.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-F.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
FLG,Flagstar Bank,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-FLG.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-FLG.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-FLG.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
FRMI,Fermi Inc. - Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-FRMI.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-FRMI.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-FRMI.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
FTI,TechnipFMC plc Ordinary Share,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-FTI.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-FTI.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-FTI.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
GFL,GFL Environmental Inc. Subordinate voting shares,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-GFL.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-GFL.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-GFL.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
HUT,Hut 8 Corp. - Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-HUT.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-HUT.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-HUT.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
