market_key,market,symbol,company,industry,canonical_category,canonical_category_label,source_priority,instrument_type,output_subdir,source_count,source_summary
tw,台股,6693,廣閎科,分離式元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-6693,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,7712,博盛半導體,分離式元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-7712,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,7768,頌勝科技,半導體研磨墊,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-7768,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,7788,松川精密,繼電器,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-7788,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,8043,蜜望實,電子通路,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-8043,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,8096,擎亞,記憶體通路,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-8096,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,8162,微矽電子-創,分離式元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-8162,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,8255,朋程,車用 / 功率元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-8255,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,8261,富鼎,分離式元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-8261,1,KOL/news 現在不能買，但值得等買點名單
us,美股,GETY,Getty Images,影像內容 / 版權,wait_entry,現在不能買，但值得等買點名單,3,common_equity,us-GETY,1,KOL/news 現在不能買，但值得等買點名單
us,美股,LITE,Lumentum,光通訊,wait_entry,現在不能買，但值得等買點名單,3,common_equity,us-LITE,1,KOL/news 現在不能買，但值得等買點名單
us,美股,META,Meta,社群 / AI,wait_entry,現在不能買，但值得等買點名單,3,common_equity,us-META,1,KOL/news 現在不能買，但值得等買點名單
us,美股,MSFT,Microsoft,雲端 / 軟體,wait_entry,現在不能買，但值得等買點名單,3,common_equity,us-MSFT,1,KOL/news 現在不能買，但值得等買點名單
us,美股,MU,Micron,記憶體,wait_entry,現在不能買，但值得等買點名單,3,common_equity,us-MU,1,KOL/news 現在不能買，但值得等買點名單
us,美股,NVDA,NVIDIA,半導體設計,wait_entry,現在不能買，但值得等買點名單,3,common_equity,us-NVDA,1,KOL/news 現在不能買，但值得等買點名單
