market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,risk_status,horizon_status,decision_ready,readiness_blockers,next_required_workflow,near_term_3m,base_12m,long_term_3y,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,2428,興勤,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2428/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2428/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2428/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2428/risk_plan.html
tw,2429,銘旺科,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2429/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2429/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2429/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2429/risk_plan.html
tw,2442,新美齊,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2442/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2442/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2442/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2442/risk_plan.html
tw,2455,全新,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2455/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2455/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2455/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2455/risk_plan.html
tw,2497,怡利電,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2497/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2497/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2497/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2497/risk_plan.html
tw,2498,宏達電,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2498/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2498/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2498/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2498/risk_plan.html
tw,2538,基泰,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2538/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2538/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2538/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2538/risk_plan.html
tw,2542,興富發,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2542/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2542/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2542/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2542/risk_plan.html
tw,2605,新興,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2605/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2605/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2605/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2605/risk_plan.html
tw,2615,萬海,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2615/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2615/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2615/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2615/risk_plan.html
tw,2889,國票金,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2889/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2889/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2889/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2889/risk_plan.html
tw,3050,鈺德,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-3050/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-3050/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-3050/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-3050/risk_plan.html
