market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,risk_status,horizon_status,decision_ready,readiness_blockers,next_required_workflow,near_term_3m,base_12m,long_term_3y,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,2455,全新,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2455/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2455/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2455/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2455/risk_plan.html
tw,2482,連宇,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2482/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2482/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2482/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2482/risk_plan.html
tw,2607,榮運,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2607/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2607/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2607/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2607/risk_plan.html
tw,3008,大立光,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3008/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3008/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3008/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3008/risk_plan.html
tw,3014,聯陽,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3014/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3014/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3014/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3014/risk_plan.html
tw,3045,台灣大,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3045/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3045/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3045/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3045/risk_plan.html
tw,3164,景岳,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3164/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3164/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3164/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3164/risk_plan.html
tw,3447,展達,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3447/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3447/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3447/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3447/risk_plan.html
tw,3591,艾笛森,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3591/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3591/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3591/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-3591/risk_plan.html
tw,4133,亞諾法,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-4133/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-4133/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-4133/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-4133/risk_plan.html
