market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,00654R,富邦印度反1,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00654R/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00654R/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00654R/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00654R/risk_plan.html
tw,00669R,國泰美國道瓊反1,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00669R/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00669R/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00669R/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00669R/risk_plan.html
tw,00707R,期元大S&P日圓反1,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00707R/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00707R/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00707R/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00707R/risk_plan.html
tw,00712,復華富時不動產,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00712/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00712/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00712/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00712/risk_plan.html
tw,00771,元大US高息特別股,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00771/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00771/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00771/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-00771/risk_plan.html
tw,1413,宏洲,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1413/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1413/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1413/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1413/risk_plan.html
tw,1453,大將,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1453/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1453/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1453/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1453/risk_plan.html
tw,1460,宏遠,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1460/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1460/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1460/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1460/risk_plan.html
tw,1471,首利,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1471/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1471/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1471/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1471/risk_plan.html
tw,1526,日馳,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1526/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1526/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1526/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1526/risk_plan.html
