market_key,market,symbol,company,industry,canonical_category,canonical_category_label,source_priority,instrument_type,dcf_applicability,output_subdir,source_count,source_summary
tw,TWSE,6205,詮欣,電子零組件業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-6205,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,6206,飛捷,電腦及週邊設備業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-6206,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,6282,康舒,電子零組件業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-6282,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,6412,群電,電子零組件業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-6412,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,6426,統新,通信網路業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-6426,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,6579,研揚,電腦及週邊設備業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-6579,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,6753,龍德造船,航運業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-6753,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,6768,志強-KY,運動休閒,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-6768,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,8028,昇陽半導體,半導體業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-8028,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,8039,台虹,電子零組件業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-8039,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,8422,可寧衛*,綠能環保,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-8422,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,9914,美利達,運動休閒,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-9914,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,9921,巨大,運動休閒,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-9921,1,台股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,ACGL,Arch Capital Group Ltd. - Common Stock,Finance / Property-Casualty Insurers,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-ACGL,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,ADM,Archer-Daniels-Midland Company Common Stock,Consumer Staples / Packaged Foods,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-ADM,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,AES,The AES Corporation Common Stock,Utilities / Electric Utilities: Central,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-AES,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,AIG,American International Group,Finance / Life Insurance,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-AIG,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,AOS,A.O. Smith Corporation Common Stock,Consumer Discretionary / Consumer Electronics/Appliances,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-AOS,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,AUR,Aurora Innovation,Technology / EDP Services,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-AUR,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,AXTI,AXT Inc - Common Stock,Technology / Semiconductors,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-AXTI,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,BB,BlackBerry Limited Common Stock,Technology / Computer Software: Prepackaged Software,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-BB,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,BBIO,BridgeBio Pharma,Health Care / Biotechnology: Pharmaceutical Preparations,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-BBIO,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,BCRX,BioCryst Pharmaceuticals,Health Care / Biotechnology: Biological Products (No Diagnostic Substances),wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-BCRX,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,BMRN,BioMarin Pharmaceutical Inc. - Common Stock,Health Care / Biotechnology: Pharmaceutical Preparations,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-BMRN,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,BULL,Webull Corporation - Class A Ordinary Shares,Finance / Investment Bankers/Brokers/Service,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-BULL,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,CCJ,Cameco Corporation Common Stock,Basic Materials / Other Metals and Minerals,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-CCJ,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,CDE,Coeur Mining,Basic Materials / Precious Metals,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-CDE,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,CNC,Centene Corporation Common Stock,Health Care / Medical Specialities,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-CNC,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,CNH,CNH Industrial N.V. Common Shares,Industrials / Construction/Ag Equipment/Trucks,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-CNH,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,CRML,Critical Metals Corp. - Ordinary Shares,Basic Materials / Metal Mining,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-CRML,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,DOC,Healthpeak Properties,Real Estate / Real Estate Investment Trusts,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-DOC,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,ED,Consolidated Edison,Utilities / Power Generation,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-ED,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,ENB,Enbridge Inc Common Stock,Energy / Natural Gas Distribution,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-ENB,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,HBM,Hudbay Minerals Inc. Ordinary Shares,Basic Materials / Metal Mining,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-HBM,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,HR,Healthcare Realty Trust Incorporated Common Stock,Real Estate / Real Estate Investment Trusts,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-HR,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,HUT,Hut 8 Corp. - Common Stock,Finance / Finance: Consumer Services,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-HUT,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,IAG,Iamgold Corporation Ordinary Shares,Basic Materials / Precious Metals,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-IAG,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,INCY,Incyte Corporation - Common Stock,Health Care / Biotechnology: Commercial Physical & Biological Resarch,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-INCY,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,INFQ,Infleqtion,Technology / EDP Services,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-INFQ,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,INSM,Insmed Incorporated - Common Stock,Health Care / Biotechnology: Pharmaceutical Preparations,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-INSM,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,IVZ,Invesco Ltd Common Stock,Finance / Investment Managers,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-IVZ,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,JBS,JBS N.V. Class A Common Shares,Consumer Staples / Meat/Poultry/Fish,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-JBS,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,JNJ,Johnson & Johnson Common Stock,Health Care / Biotechnology: Pharmaceutical Preparations,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-JNJ,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,KIM,Kimco Realty Corporation  Common Stock,Real Estate / Real Estate Investment Trusts,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-KIM,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,LITE,Lumentum Holdings Inc. - Common Stock,Telecommunications / Telecommunications Equipment,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-LITE,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,MARA,MARA Holdings,Technology / EDP Services,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-MARA,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,MO,Altria Group,Health Care / Medicinal Chemicals and Botanical Products,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-MO,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,MRK,Merck & Company,Health Care / Biotechnology: Pharmaceutical Preparations,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-MRK,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,O,Realty Income Corporation Common Stock,Real Estate / Real Estate Investment Trusts,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-O,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,P,Everpure,Technology / Electronic Components,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-P,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,PBA,Pembina Pipeline Corp. Ordinary Shares,Energy / Oil & Gas Production,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-PBA,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,PCG,Pacific Gas & Electric Co. Common Stock,Utilities / Power Generation,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-PCG,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,PFE,Pfizer,Health Care / Biotechnology: Pharmaceutical Preparations,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-PFE,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,Q,Qnity Electronics,Technology / Semiconductors,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-Q,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,SMMT,Summit Therapeutics Inc. - Common Stock,Health Care / Biotechnology: Pharmaceutical Preparations,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-SMMT,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,SWKS,Skyworks Solutions,Technology / Semiconductors,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-SWKS,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,TSEM,Tower Semiconductor Ltd. - Ordinary Shares,Technology / Semiconductors,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-TSEM,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,UPS,United Parcel Service,Industrials / Trucking Freight/Courier Services,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-UPS,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,VLO,Valero Energy Corporation Common Stock,Energy / Integrated oil Companies,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-VLO,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,XP,XP Inc. - Class A Common Stock,Finance / Investment Bankers/Brokers/Service,wait_entry,現在不能買，但值得等買點名單,5,common_equity,required,us-XP,1,美股 K-line 現在不能買，但值得等買點名單
